bootstrap_draw,raw_D1_prior_testing_treatment,raw_D2_prior_utilization,raw_D3_triage_urgency_pain,raw_D4_patient_vulnerability,raw_D5_respiratory_status,raw_D6_prior_medication_device,raw_D7_circulatory_status,raw_D8_arrival_mode,raw_D9_thermal_inflammatory,raw_D10_consciousness_neurologic,weight_D1_prior_testing_treatment,weight_D2_prior_utilization,weight_D3_triage_urgency_pain,weight_D4_patient_vulnerability,weight_D5_respiratory_status,weight_D6_prior_medication_device,weight_D7_circulatory_status,weight_D8_arrival_mode,weight_D9_thermal_inflammatory,weight_D10_consciousness_neurologic
11,0.0044218786496445601,0.00063573952368946199,0.025656887932148806,0.039552502507888734,0.0029573789680385383,1.9679735396543248e-05,0.0049092686555483236,0.018323248408694343,0.0024474847406997574,0.00031134978979845032,0.044559479852510686,0.0064063771853084218,0.25854567062409251,0.39857243453714297,0.029801647440764752,0.0001983136224182676,0.049470931945419107,0.18464423901940277,0.024663419246320688,0.0031374865266197826
12,0.0047270148945718037,0.00065132402537710276,0.024340705795740339,0.039555160976746322,0.0027426683108701332,1.645334000749762e-05,0.0047329411236450864,0.016940085111938744,0.0025439323032832692,0.00030667782842753977,0.048955711871172786,0.0067454899196001516,0.25208648719208065,0.40965622215812031,0.028404666069349705,0.00017040034581876606,0.049017087341626103,0.17544136083970183,0.026346440541644648,0.0031761337208850932
13,0.0049848331546040198,0.00059074791729480844,0.024096665752793889,0.039266359410426582,0.0024889681150938275,3.228020029450377e-05,0.0045524644835884922,0.016372834825848337,0.0025857675282692613,0.00036264016856073716,0.052288334487906214,0.006196641640656606,0.25276162307692118,0.4118839028901915,0.026107994650043157,0.00033860268899405156,0.04775300963530394,0.17174261150515963,0.027123370679163671,0.0038039087456600718
14,0.0050203367876259317,0.00059390719718217962,0.024471578423367786,0.038335772509774893,0.0026876149604609465,1.8447795169806798e-05,0.0048676746061747751,0.016757087551053696,0.0024864998810958916,0.00033179181599191825,0.052530076499016705,0.0062143222299732839,0.25605730073720689,0.40112469497084757,0.02812174271273904,0.00019302770561064348,0.050932702376646655,0.17533705968237109,0.026017383792000571,0.003471689293587247
15,0.0050199973752910673,0.00067444258074702884,0.027032148945155789,0.04103838658912861,0.0028636024744722165,2.5492479219966578e-05,0.0047997609040961583,0.01774124267810126,0.0022067270246147537,0.00037745275399001096,0.049322403020540605,0.006626523142333255,0.26559586491954074,0.4032097412290756,0.028135424140206186,0.00025046832499729047,0.047158538942530574,0.17431099182672166,0.02168150130916284,0.0037085431448913558
16,0.0050988425431688685,0.00070890567746937912,0.025563025855030761,0.039331092206592443,0.0026673060084624269,1.2419983056166687e-05,0.0049127392865342756,0.01692916785069451,0.0021338478676621417,0.00033447642738949131,0.052193135000841981,0.0072565507590723896,0.26167006495800449,0.40260372582390924,0.027303267635661474,0.00012713431467444491,0.050288131597542349,0.1732915530539357,0.021842645440651808,0.0034237914157061802
17,0.0049443312104762984,0.00063838889226333791,0.025717345648498521,0.038742130618249972,0.0026346122306285073,9.9882135314582402e-06,0.0051114842787323882,0.017657756545065264,0.0025755350106760697,0.000361810718681451,0.050250647363595538,0.0064881282706121726,0.2613727139824652,0.39374731605500507,0.026776315037433635,0.00010151306103808746,0.051949471639542583,0.17946081271784758,0.026175896412410832,0.003677185460049151
18,0.0044725204404553673,0.0006130484055272403,0.025810188890297996,0.03968521747072825,0.0026041201365155646,5.5279206062872742e-06,0.0047302758153078992,0.016963565491208091,0.0024479651230744854,0.00030116617618656068,0.045809236058608295,0.0062790722810629552,0.26435765947501189,0.40647091932992996,0.026672377610524912,5.6619041396907821e-05,0.048449263526161364,0.17374721621245273,0.025072979247187474,0.003084657217663587
19,0.0051820985614637041,0.00066200559149817999,0.025114907958829299,0.039624493245075644,0.0024642287858899063,2.3719218019925648e-05,0.0050050181943825057,0.016556720187309928,0.0023033906535813906,0.00042103389535135156,0.053227459328432251,0.0067997308964172455,0.25796551842084625,0.40699941878686996,0.025311104356891854,0.00024362981473305051,0.051408594263462115,0.17006086239574603,0.023659069945663979,0.0043246117909373598
20,0.0048721213378011404,0.00052382603624227841,0.024881531057322853,0.038724040265305001,0.0025171237277003826,2.4329923288345806e-05,0.0052412558186391801,0.016878604522174268,0.0025475368552083997,0.00030319117161263433,0.050481210118994778,0.0054274863797380115,0.25780347210192489,0.40122900842439246,0.026080518727577055,0.00025208813256943956,0.054305900433001014,0.17488324331919006,0.026395636388583603,0.0031414359740287536
