panel,alternative_id,criterion_id,u0,u_lower,u_upper,interval_width,m_L,m_B,m_Neg,boundary_discordance,rho,ignorance_mass,epsilon_n,epsilon_p,config_threshold,config_target_mode,config_median_band_radius,config_epsilon_multiplier,config_nu,config_t2nn_weight,config_boundary_metric,config_rho_power,config_equal_spacing,p0_VWI,singleton_VWI,p0_PI,singleton_PI,p0_EI,singleton_EI,p0_SI,singleton_SI,p0_VSI,singleton_VSI,p0_AI,singleton_AI
A,A4,D3,0.51024122436161379,0.49741701965011936,0.52255063116404465,0.025133611513925291,0,1,0,0.02513361151392534,0.02513361151392534,0.02513361151392534,0.22222222222222221,0.30813953488372092,SI,threshold_upper_set,1,1,3,0.5,W1,1,False,0,0,0,0,0.15401083850643452,0.1501399899224799,0.84598916149356551,0.82472639856359475,0,0,0,0
A,A4,D4,0.89364693708910803,0.89364693708910803,0.89364693708910803,0,1,0,0,0,0,0,0.22222222222222221,0.30813953488372092,SI,threshold_upper_set,1,1,3,0.5,W1,1,False,0,0,0,0,0,0,0,0,0.34514578906930965,0.34514578906930965,0.65485421093069029,0.65485421093069029
A,A4,D5,0.60266263963031186,0.60266263963031186,0.60266263963031186,0,1,0,0,0,0,0,0.22222222222222221,0.30813953488372092,SI,threshold_upper_set,1,1,3,0.5,W1,1,False,0,0,0,0,0,0,0.63925108264943153,0.63925108264943153,0.36074891735056841,0.36074891735056841,0,0
A,A4,D6,0.61705182827691663,0.61705182827691663,0.61705182827691663,0,1,0,0,0,0,0,0.22222222222222221,0.30813953488372092,SI,threshold_upper_set,1,1,3,0.5,W1,1,False,0,0,0,0,0,0,0.53612856401543152,0.53612856401543152,0.46387143598456848,0.46387143598456848,0,0
A,A4,D7,0.57333189915927241,0.56656881127336689,0.57951167935935366,0.01294286808598677,0.30000000000000004,0.69999999999999996,0,0.018489811551409736,0.018489811551409736,0.012942868085986815,0.22222222222222221,0.30813953488372092,SI,threshold_upper_set,1,1,3,0.5,W1,1,False,0,0,0,0,0.076317305204364666,0.074906212613024548,0.62368269479563532,0.61215091930098864,0.30000000000000004,0.30000000000000004,0,0
A,A4,D8,0.30802885311087941,0.29824207019145305,0.32825326478530481,0.030011194593851764,0,0.90000000000000002,0.10000000000000001,0.033345771770946386,0.033345771770946386,0.030011194593851747,0.22222222222222221,0.30813953488372092,SI,threshold_upper_set,1,1,3,0.5,W1,1,False,0,0,0.10000000000000001,0.10000000000000001,0.74508589925380342,0.72024043490753575,0.15491410074619669,0.14974837049861259,0,0,0,0
A,A4,D9,0.57333189915927241,0.56656881127336689,0.57951167935935366,0.01294286808598677,0.30000000000000004,0.69999999999999996,0,0.018489811551409736,0.018489811551409736,0.012942868085986815,0.22222222222222221,0.30813953488372092,SI,threshold_upper_set,1,1,3,0.5,W1,1,False,0,0,0,0,0.076317305204364666,0.074906212613024548,0.62368269479563532,0.61215091930098864,0.30000000000000004,0.30000000000000004,0,0
A,A4,D10,0.60266263963031186,0.60266263963031186,0.60266263963031186,0,1,0,0,0,0,0,0.22222222222222221,0.30813953488372092,SI,threshold_upper_set,1,1,3,0.5,W1,1,False,0,0,0,0,0,0,0.63925108264943153,0.63925108264943153,0.36074891735056841,0.36074891735056841,0,0
A,A5,D1,0.72864733838124396,0.72308387820522646,0.73466148419216226,0.011577605986935802,0.69999999999999996,0.30000000000000004,0,0.038592019956452846,0.038592019956452846,0.011577605986935855,0.22222222222222221,0.30813953488372092,SI,threshold_upper_set,1,1,3,0.5,W1,1,False,0,0,0,0,0.078815444364330162,0.075773797162545231,0.22118455563566988,0.21264859685051896,0.374874187043444,0.374874187043444,0.32512581295655607,0.32512581295655607
A,A5,D2,0.81538539194503978,0.81538539194503978,0.81538539194503978,0,1,0,0,0,0,0,0.22222222222222221,0.30813953488372092,SI,threshold_upper_set,1,1,3,0.5,W1,1,False,0,0,0,0,0,0,0.15000000000000002,0.15000000000000002,0.38120212425383332,0.38120212425383332,0.46879787574616671,0.46879787574616671
A,A5,D3,0.61705182827691663,0.61705182827691663,0.61705182827691663,0,1,0,0,0,0,0,0.22222222222222221,0.30813953488372092,SI,threshold_upper_set,1,1,3,0.5,W1,1,False,0,0,0,0,0,0,0.53612856401543152,0.53612856401543152,0.46387143598456848,0.46387143598456848,0,0
A,A5,D4,0.70935057260469525,0.70325153980936295,0.71546716750201378,0.012215627692650832,0.59999999999999998,0.40000000000000002,0,0.030539069231627042,0.030539069231627042,0.012215627692650818,0.22222222222222221,0.30813953488372092,SI,threshold_upper_set,1,1,3,0.5,W1,1,False,0,0,0,0,0.077648000392170846,0.075276702732496925,0.32235199960782918,0.31250766957485226,0.29324991497283748,0.29324991497283748,0.3067500850271625,0.3067500850271625
A,A5,D5,0.63071422660860821,0.63071422660860821,0.63071422660860821,0,1,0,0,0,0,0,0.22222222222222221,0.30813953488372092,SI,threshold_upper_set,1,1,3,0.5,W1,1,False,0,0,0,0,0,0,0.43821470930497469,0.43821470930497469,0.56178529069502536,0.56178529069502536,0,0
A,A5,D6,0.63540336531898356,0.62516141515451396,0.64718490065516998,0.022023485500656026,0.5,0.5,0,0.044046971001311948,0.044046971001311948,0.022023485500655974,0.22222222222222221,0.30813953488372092,SI,threshold_upper_set,1,1,3,0.5,W1,1,False,0,0,0,0,0.15970170738177847,0.15266733090787327,0.34029829261822153,0.32530918359147076,0.31518190411681585,0.31518190411681585,0.18481809588318415,0.18481809588318415
A,A5,D7,0.63071422660860821,0.63071422660860821,0.63071422660860821,0,1,0,0,0,0,0,0.22222222222222221,0.30813953488372092,SI,threshold_upper_set,1,1,3,0.5,W1,1,False,0,0,0,0,0,0,0.43821470930497469,0.43821470930497469,0.56178529069502536,0.56178529069502536,0,0
